2019/06/03 19:27:42.482 Info   C:\Users\Dell\Desktop\Insper\2019.1\CompEmbarc\GuitarController\JoyToKey.exe
2019/06/03 19:27:42.483 Info   Starting JoyToKey v6.2
2019/06/03 19:27:42.483 Info   ExeFile=C:\Users\Dell\Desktop\Insper\2019.1\CompEmbarc\GuitarController\JoyToKey.exe
2019/06/03 19:27:42.483 Info   ConfigDir=C:\Users\Dell\Desktop\Insper\2019.1\CompEmbarc\GuitarController\
2019/06/03 19:27:42.483 Info   IniFile=C:\Users\Dell\Desktop\Insper\2019.1\CompEmbarc\GuitarController\JoyToKey.ini
2019/06/03 19:27:42.483 Info   Windows Version = 6.2
2019/06/03 19:27:42.492 Error  Failed to load VistaAPI.dll (Utils\Utils.cpp#227)
2019/06/03 19:27:42.493 Info   Loading ini file: C:\Users\Dell\Desktop\Insper\2019.1\CompEmbarc\GuitarController\JoyToKey.ini (AppInfo.cpp#231)
2019/06/03 19:27:42.494 Info   LicenseKey "" is not valid
2019/06/03 19:27:43.167 Info   Loading XInput1_3.dll (Joystick.cpp#128)
2019/06/03 19:27:43.177 Info   Initialized XInput (Joystick.cpp#146)
2019/06/03 19:27:43.283 Info   Detected a DI joystick: {531319A0-78C2-11E9-8002-444553540000}, vJoy Device, vJoy Device
2019/06/03 19:27:43.318 Info   numAxis = 8
2019/06/03 19:27:43.318 Info   numPOVs = 0
2019/06/03 19:27:43.318 Info   numButtons = 8
2019/06/03 19:27:43.319 Info   EnumDeviceObject: Axis offset=0 type=1000002 name=Eixo X
2019/06/03 19:27:43.319 Info   EnumDeviceObject: Axis offset=4 type=1000102 name=Eixo Y
2019/06/03 19:27:43.319 Info   EnumDeviceObject: Axis offset=8 type=202 name=Eixo Z
2019/06/03 19:27:43.319 Info   EnumDeviceObject: Axis offset=12 type=302 name=Rotação X
2019/06/03 19:27:43.319 Info   EnumDeviceObject: Axis offset=16 type=402 name=Rotação Y
2019/06/03 19:27:43.320 Info   EnumDeviceObject: Axis offset=20 type=502 name=Rotação Z
2019/06/03 19:27:43.320 Info   EnumDeviceObject: Axis offset=24 type=602 name=Controle deslizante
2019/06/03 19:27:43.320 Info   EnumDeviceObject: Axis offset=28 type=702 name=Discar
2019/06/03 19:27:43.333 Info   DetectJoysticks: Detected 1 DI joystick(s)
2019/06/03 19:27:43.342 Info   Joystick #1: vJoy Device
2019/06/03 19:27:43.342 Info   1 joysticks are detected (Joystick.cpp#168)
2019/06/03 19:27:43.342 Info   ConfigDir=C:\Users\Dell\Desktop\Insper\2019.1\CompEmbarc\GuitarController\*.cfg (ConfigFileManager.cpp#43)
2019/06/03 19:27:43.345 Info   Failed to find AppLink.dat (AppLink\AppLinkManager.cpp#32)
2019/06/03 19:27:43.411 Info   TimerInit: Initializing timer with x1 speed mode (interval = 16 msec)
2019/06/03 19:36:15.856 Info   Detected a DI joystick: {531319A0-78C2-11E9-8002-444553540000}, vJoy Device, vJoy Device
2019/06/03 19:36:15.870 Info   numAxis = 8
2019/06/03 19:36:15.870 Info   numPOVs = 0
2019/06/03 19:36:15.871 Info   numButtons = 8
2019/06/03 19:36:15.871 Info   EnumDeviceObject: Axis offset=0 type=1000002 name=Eixo X
2019/06/03 19:36:15.871 Info   EnumDeviceObject: Axis offset=4 type=1000102 name=Eixo Y
2019/06/03 19:36:15.871 Info   EnumDeviceObject: Axis offset=8 type=202 name=Eixo Z
2019/06/03 19:36:15.871 Info   EnumDeviceObject: Axis offset=12 type=302 name=Rotação X
2019/06/03 19:36:15.871 Info   EnumDeviceObject: Axis offset=16 type=402 name=Rotação Y
2019/06/03 19:36:15.871 Info   EnumDeviceObject: Axis offset=20 type=502 name=Rotação Z
2019/06/03 19:36:15.871 Info   EnumDeviceObject: Axis offset=24 type=602 name=Controle deslizante
2019/06/03 19:36:15.871 Info   EnumDeviceObject: Axis offset=28 type=702 name=Discar
2019/06/03 19:36:15.881 Info   DetectJoysticks: Detected 1 DI joystick(s)
2019/06/03 19:36:15.882 Info   Joystick #1: vJoy Device
2019/06/03 19:36:17.412 Info   Application terminated (Utils\LogFile.cpp#20)
